protocol_type,service,flag,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,dst_host_count,dst_host_srv_count,class
tcp,other,SH,27.61140523215483,232.63617501916966,72.73990597938868,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,11,8,0.42372360933899833,0.815932021519271,0.7780354848501587,0.6339352191741976,0.9627389738065687,0.3118704725916511,0.3436838827398103,0.059216936517085594,0.6514797616041429,0.9174638770372511,0.0029949117863893315,0.8622546481001223,0.3864364612260044,0.06870425987503526,0.76190192381264,52,25,normal
icmp,telnet,OTH,24.64695001413811,1095.0608427036168,581.2526325407048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0.12083479542978526,0.5451212573974014,0.22810513163219592,0.9896070373278459,0.3075496690092677,0.3292927149734307,0.3281586891359318,0.28073683148044704,0.3102167971855929,0.756201979428847,0.08735694916201475,0.04324008843357696,0.6329748919130629,0.02197194582287365,0.7079215430368115,58,29,normal
udp,other,REJ,151.9812921320807,3052.190280359427,465.51330850256124,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,11,0.8045324954292746,0.32877955632909506,0.019182976349005232,0.24422086386575004,0.9079274748011471,0.21025079360418553,0.9331260070159266,0.22873667698633005,0.47638153455323695,0.1531651551927813,0.24576203087545456,0.9732959467135637,0.5210240887862553,0.25453743425901276,0.6919310347264676,60,40,normal
tcp,smtp,S2,28.735245319952107,2268.724749638676,603.9845838758365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0.8088271410153013,0.27853560502680375,0.061637180845645845,0.508445944025507,0.4353651472821738,0.3297591667593165,0.9170544731628609,0.015705182866051826,0.8408391512041036,0.40970381119134636,0.47359305395710627,0.26570957833400366,0.7845382483890474,0.7969368320356076,0.8546190557742831,43,28,normal
tcp,ftp,SF,40.10265101570047,585.6631086137014,485.4073624429565,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.4596727543417033,0.31506217934642344,0.670620123772224,0.9969089852051033,0.003886819942576336,0.9102524285019856,0.7806145296436601,0.6376288002623587,0.0553857485985213,0.8198197354012929,0.14653560259777743,0.7660343414876374,0.45370107802482473,0.8275058443940153,0.27517553333013667,53,29,dos
tcp,http,S3,69.04211861006374,1014.9561296954686,413.3934442826337,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8,13,0.7953157441086732,0.27395417072009565,0.7841178817200376,0.6390484089708622,0.7443734401827663,0.7141404314222719,0.0634793436382548,0.9978433347900882,0.7697168362014584,0.28162346017322826,0.30738935835566383,0.3735678621885521,0.5919519392290762,0.9221632702330506,0.8625272306813916,52,26,normal
tcp,http,S0,64.56462907721439,753.1016284608056,1303.66087631797,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,10,13,0.4900423793781482,0.6206570484652061,0.4915424546927232,0.08068861064020805,0.46182478359653967,0.38002970589693374,0.37835830605034926,0.42134245202051956,0.5639239766338423,0.9091986751998791,0.8676619047408856,0.7178868856036227,0.07416776904088895,0.7405637735426086,0.36598405139260615,55,34,normal
tcp,http,REJ,43.729204441888854,425.6508509528172,214.35988331886014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,4,0.794291376509071,0.18160231828466422,0.7855064328351506,0.8302656131585712,0.9637421095595352,0.47364085160474945,0.2606102915416434,0.6009765762794085,0.18849860115538786,0.21372299131079664,0.06437858982095646,0.5796263722189732,0.3929164910566719,0.04049901806713985,0.06875088035358357,39,29,normal
tcp,http,REJ,98.60368057108802,155.9781331711572,102.09198443897529,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,16,7,0.6922101036171777,0.4682906121776008,0.9762596308167085,0.21330972337379517,0.5411346496145898,0.47325476382077125,0.612879274760778,0.9081606421878742,0.6527745270590544,0.6045617686063537,0.33050147728059354,0.6470019624865084,0.06267069113185653,0.5607906994838605,0.7559177071500551,49,34,dos
tcp,http,S1,48.9324228260072,1626.5547262076664,793.3641909246049,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,7,0.02887093561790155,0.4597523714165882,0.9005544434223743,0.861742923090353,0.6458356539261245,0.5539756333267447,0.27526342413546423,0.17252279575361074,0.5899063632116627,0.23259740070915746,0.8437924586386146,0.6777716577603443,0.2575109955269741,0.8747568212272828,0.536545850835956,50,30,dos
tcp,http,S2,103.87570896726305,94.79616843278376,69.45374509509115,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,10,0.0878355489128605,0.839561310663017,0.8044766651524808,0.6778529437659052,0.8778282286820647,0.5328075425908088,0.8073576453082255,0.9130688186114586,0.11024155976206917,0.9019584115620632,0.28273438851749,0.7920405977789441,0.8017864338214581,0.20875526076717643,0.490222981528177,51,30,normal
tcp,http,RSTOS0,18.031692115330085,940.653563574104,569.2839103733393,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0.8321638502884088,0.9903852569848479,0.3010181515843323,0.15403550170631375,0.16510765869296384,0.28753557460267243,0.8433020108190253,0.6116685240447752,0.5826901412663965,0.5182617910396802,0.3288155095819635,0.19389266116863713,0.37711381650289955,0.3306988621316814,0.8398751346993822,42,36,dos
tcp,other,S1,7.079542112187591,902.3118249352257,398.7654224642186,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,8,0.6074609767585292,0.7030285148211116,0.6680753073139686,0.6736615637002574,0.6549689691865175,0.6836842527715442,0.6818482809323715,0.006141121695105833,0.6594405819904517,0.6113330329182818,0.19837961075184507,0.8401335951395892,0.8299654101257763,0.9268557641299592,0.6927745893378393,58,23,dos
tcp,http,S2,85.60689201573835,407.7041206753125,0.6420937226119383,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,12,0.8305160809064756,0.7700456647634953,0.6270195514826702,0.7912826006858932,0.7153329512926551,0.956196945737441,0.7481077607911131,0.525744182135133,0.5044466144563944,0.9830375491483492,0.7705041941704303,0.4978794715959557,0.2908932083952025,0.04771736465621934,0.4720479460709003,48,36,dos
tcp,telnet,OTH,24.105260583480963,145.4982044360619,137.12780604767912,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,6,12,0.9134257992630842,0.9735789129034299,0.7258079481052429,0.45806501949234124,0.2109249463339261,0.20448948524001254,0.9276470996378978,0.484907386835324,0.98592971612677,0.8584121381875068,0.4179366038068312,0.9160694451087598,0.7653990336140045,0.3834662488848932,0.6664888334956475,48,30,normal
udp,http,SH,52.64628558824532,1607.6251930560231,342.4941860995741,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,10,9,0.46731424384554776,0.9596118140705175,0.7548609433957678,0.6878745495984183,0.541689710150733,0.14643518992052673,0.1216110077273238,0.9091850890056147,0.6761576662292386,0.8166164528172638,0.6007510463046225,0.9692770053336617,0.6815740077575291,0.06868806189477983,0.44239468487900546,53,25,probe
tcp,other,S0,66.83926019717413,619.756230766068,200.02608719689758,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,11,4,0.8319480926878788,0.16510926617750343,0.8546098537019851,0.06966417985916273,0.46330952346324106,0.27431499672353243,0.6372807466160147,0.489457616427181,0.05972868160603817,0.41736764849761543,0.9098153418950112,0.009910743419834667,0.9630570188971566,0.41490720475432175,0.3328179007472346,61,32,u2r
tcp,other,SF,19.778992094368494,1291.9770066506746,278.34035369776535,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,9,7,0.017756313380789646,0.833528790676557,0.41495943920419476,0.815854685036944,0.12981979971880353,0.8636751087959318,0.9781379920411378,0.09035558956053769,0.6987686776815366,0.26765594417869054,0.7130292310268511,0.9683063124858862,0.013065768711399195,0.7094472302689417,0.3910992518955809,47,33,probe
tcp,ssh,REJ,35.17638244102122,16.623205114198996,459.7354391578137,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0.6038993212240265,0.22983674308587354,0.4789428145396011,0.17188670505121273,0.9242425583193002,0.5687439202734762,0.7266911967125919,0.8400276364782108,0.3556783138017833,0.6945961543467055,0.2089731737970636,0.9344920752880784,0.707644935761051,0.7969271159420879,0.13746754733429323,47,29,normal
tcp,ssh,RSTOS0,112.6547658897622,77.42456596635095,656.1977485356379,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,7,5,0.38671326685803253,0.6029237000016388,0.8505320769770285,0.7344512133275242,0.10238687738877528,0.7692626762486318,0.23348020709691708,0.9882195915555486,0.3516234713974894,0.502318767778524,0.22175442346402763,0.4088835770676259,0.1154817683689523,0.321274704604796,0.9010286988454655,53,30,normal
tcp,http,S1,105.92709896253005,193.39991728086574,81.97023746150953,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,8,0.11258942650742532,0.6420699972938136,0.034767313795970534,0.05336907784718037,0.9483090115643557,0.8073655528342177,0.5852425678109859,0.9751432654405754,0.17793230577160735,0.5571106253802114,0.6992176232518551,0.8069992453141107,0.2223453471407837,0.22310976017628792,0.4168040321763724,48,32,normal
tcp,other,S0,69.18629861535453,120.85559551199907,166.27872158982186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0.12468939099431686,0.06425548195104736,0.659502159641912,0.7141128253319159,0.04667292364349773,0.3351328517405089,0.8678427221441044,0.23299399438219348,0.6007577858917492,0.6357186426275965,0.10964377154737392,0.7921162146503319,0.046645284138867926,0.7550682342079794,0.25579268819500434,55,28,normal
tcp,other,SF,71.92983599967009,212.83037907036922,505.97490160372206,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,10,4,0.2865603935648343,0.09671216136569982,0.05701346305615029,0.894235123493501,0.15509530669056715,0.37191205197618016,0.8269819924851786,0.507675515854553,0.8888055670986081,0.81026968203191,0.8926344915707135,0.8352729363601358,0.00417806539864507,0.5091995003846143,0.9588430317048681,53,35,r2l
icmp,other,S0,113.984680234357,1159.9178598444237,443.90103958159506,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,7,0.8229954860139517,0.12067276182723963,0.1944458501102606,0.8090342423503857,0.05466066670224967,0.39181059277801467,0.9052945927015291,0.1647807210723492,0.987171061486659,0.08438158652705852,0.47183490222841895,0.7665025964024189,0.9306385853988901,0.06936970069766601,0.16716677560918114,41,27,dos
icmp,ssh,REJ,66.65330059304495,48.137303467162944,667.512062010183,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,8,4,0.21104536877446012,0.8490365674878361,0.811171338045189,0.43633385739478137,0.8577308226743777,0.6135845818924012,0.12781028171464237,0.3065310148944378,0.9173878801217105,0.16018522864748475,0.6932715516564197,0.9205206272296599,0.2837598326722429,0.8310545963405127,0.235905664812477,61,26,r2l
udp,smtp,SH,20.74436988722167,38.6011417186402,511.53435712107364,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,11,8,0.1701127323520525,0.8163105840408432,0.7826907711851547,0.604790793063364,0.18913863858438185,0.7305017879195701,0.018990789159413102,0.06349604562792921,0.8902736070340016,0.0744734729768528,0.41568955503895677,0.6064193420199523,0.8734283425390591,0.8886390436858053,0.728179749477172,46,35,dos
tcp,other,RSTOS0,6.436158797515204,32.16385801285435,200.35113178117498,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,9,0.7874873814640845,0.9818996237242522,0.7746577556061062,0.26612368368620754,0.5660801705924354,0.5095531589243503,0.13274789167276713,0.10564153508877683,0.44844985650424807,0.25152886839742217,0.18516236505982342,0.9204748210829313,0.4149658049090964,0.918621399482196,0.3913199399798576,42,40,normal
tcp,http,S2,27.39904556680866,1196.1670969720221,345.81000381087046,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,9,0.5048378031855457,0.34331672376100675,0.6854447448235237,0.3387381511940182,0.10325738720901778,0.4475516365124258,0.07054827124931617,0.4137375726878322,0.6902830673145166,0.4870215895566218,0.19259812919282027,0.4934778155430307,0.7700835491422365,0.9275338474540851,0.4727921910842806,39,30,dos
tcp,ftp,S3,4.569780459123077,768.1627357553026,1080.2901117723184,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,7,6,0.38407909111124516,0.33645463472998993,0.46737313127578217,0.21123159914982892,0.1482625987224082,0.4284702934537331,0.8353171152763079,0.08879315356491901,0.8609216933206454,0.163671293904469,0.6621314137251808,0.1696117054107693,0.11411308890439098,0.19907448647495607,0.29092955473229765,45,38,dos
tcp,http,RSTOS0,6.15194739554197,462.4203140703487,102.9526078229095,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,7,0.08442562549919908,0.41163572876562504,0.2641304998769518,0.6606635107414879,0.07390784370969716,0.5518852920423468,0.7867958984735061,0.893095388438452,0.7223122301489935,0.9515105369867107,0.42340069231510646,0.29053475940814166,0.3631245400658305,0.4565978748521381,0.007764355044855287,48,28,dos
tcp,other,OTH,149.9590033550311,1125.8023346876219,236.39960028468184,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,15,0.8504571778957205,0.549669427809428,0.0033551050721288833,0.9212770583154988,0.5098019184623217,0.9274350882263368,0.8557059188276109,0.7218661058905289,0.2326438495256865,0.8165425470948777,0.12894411624104285,0.7862883548886811,0.39761952332648376,0.5107766431459854,0.3310310007716888,45,31,dos
tcp,http,OTH,56.33314685036913,806.5494384091982,921.7226334598276,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,8,0.08473523625349755,0.4571068688728447,0.05293329119863299,0.07016039676940755,0.028962643919762,0.7596438803129725,0.012181413242326355,0.17730426507459607,0.7693725378846373,0.9315399237013243,0.1429592406019069,0.5789848922996631,0.9245416332590047,0.6902551488995404,0.48601974275440063,48,26,dos
tcp,http,S2,95.3951289236817,7.361872784943099,226.43107013043593,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,8,0.4889909284918269,0.363530737320263,0.40445160276321923,0.9744736286142783,0.21274606729801415,0.09055824914663313,0.20418440308545316,0.9807841277132782,0.29683001758865646,0.021248358494622477,0.2291442058058757,0.02595088356665798,0.9492460516668407,0.8210319850313375,0.9494920513116837,43,29,dos
icmp,ftp,S1,51.48685826394836,1823.5582021076766,265.70564416422695,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,14,10,0.5198088872142343,0.5142345076128328,0.43990895183756784,0.7411702812295506,0.26943792313845993,0.7934481620126931,0.59335340162182,0.05560244726772878,0.3623946984467852,0.4021716441795218,0.7242907674602419,0.1654259649458475,0.5875569720312714,0.06929036070291206,0.4037372034018898,41,32,dos
tcp,telnet,SH,27.11065729251578,431.06662278170745,192.26012827484539,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,8,0.6873794518290702,0.3447512479579383,0.6251977550499336,0.8555216858213419,0.6767854508511214,0.40751404873262265,0.7239138190457287,0.23997965387632203,0.9068168918319336,0.8834139028359905,0.6691616974995277,0.1097277819900363,0.2632233465180793,0.6933946795158985,0.93103658623187,59,25,dos
tcp,ssh,S2,1.2740337526581245,510.0946630312013,1148.9257945535628,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,5,0.6479162960574344,0.9659925279402124,0.28710623720280404,0.1158371638602893,0.9631424066708174,0.3457965420411613,0.25654455639273965,0.12266765299507754,0.9196068652520468,0.8885567257244316,0.08255967841518264,0.7226174632603278,0.5750722771001003,0.012056588192464468,0.40832224794243943,63,30,normal
tcp,http,SH,155.99343908893334,1524.5911701438474,544.3427174021845,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,7,0.491594811371621,0.41769684027223064,0.4903707805868617,0.9082018218831027,0.10375592943763523,0.7038073216994575,0.5114321720963044,0.8229143393156431,0.5852966473394688,0.14611334635491624,0.19465022922995512,0.6147525282678525,0.8068374789116467,0.8836668894907241,0.6345967882883975,45,34,normal
tcp,http,S0,3.6786926976897893,207.13588013819083,117.08893432325388,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18,11,0.1958490593509412,0.8388450686839626,0.986675296224743,0.31566035260606673,0.988701204356086,0.7522325419709548,0.27934243007209913,0.9441528946208784,0.852212508196532,0.6049539162114539,0.35659021831666216,0.040616444591180634,0.3477411449136967,0.8070111229529159,0.9341286641289366,52,31,normal
tcp,telnet,RSTOS0,47.10133726468598,10.122919744777096,692.4161340531531,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,7,5,0.8427517126246311,0.9579872642798773,0.17029170337866184,0.8306122435937189,0.10392811812972036,0.04420116333115287,0.7089569833056177,0.8840502555155125,0.5661787482287455,0.5517007386645529,0.4037743498020886,0.916101701550062,0.3466288783897914,0.8394243990193951,0.32736338138567467,47,30,normal
tcp,other,RSTOS0,5.390576498737994,2395.120916914145,19.63846536620534,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,9,0.4688470968920069,0.5201616832941905,0.3193757532290501,0.2034599060804274,0.31620120661366113,0.654752924763912,0.922804941990901,0.7599108701688496,0.7295895948723049,0.2519776502408746,0.05104454603320363,0.48187049677434013,0.04721210872713155,0.15893179718876216,0.9873145767484882,46,29,dos
icmp,other,REJ,16.714069415417278,704.1641562711176,252.42881991377104,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,7,10,0.8480104718216293,0.7129264483134649,0.9980664852155559,0.17240479917539864,0.7305523614835079,0.7581184324492266,0.6021080485140996,0.7461071902253159,0.7229784587715985,0.8515655033692123,0.1504045278466808,0.341053032507476,0.24626127234051665,0.3381201794970704,0.4173924663350841,43,25,probe
udp,ftp,RSTOS0,10.278534209403336,430.0556884323146,1202.6953107260927,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0.9348500470030856,0.5545184699079898,0.8792465279874453,0.9392786450309687,0.37337221892411054,0.9970747341103534,0.16563842922765437,0.9587598543338295,0.05553309689624142,0.1245699022626715,0.9749542502541028,0.8915026981956532,0.9159200054199449,0.672958562318857,0.9335532395629145,51,29,normal
icmp,other,S0,40.340090446825194,1709.5101005310034,585.2455637191493,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,14,15,0.820875964370875,0.6360857113226144,0.21345078716623977,0.6917087621826723,0.7364003146936717,0.27483476918074656,0.6827641543309185,0.822121882092955,0.36321322194100947,0.8953890864959642,0.21967851527878912,0.7892142202327577,0.584877930864935,0.6706723892186169,0.4127987704116628,47,27,u2r
udp,smtp,REJ,109.05172268262358,26.646806809810105,787.7495356596734,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,9,0.9384959396187941,0.5149113397426055,0.5479410833727244,0.04955849170648552,0.16019877369449098,0.2212638683955408,0.16198929636565984,0.22397778673757762,0.23075501322806125,0.9550498772127741,0.9679943072714902,0.12157830477423792,0.07893542698062295,0.2807089939481543,0.3917273905429911,76,36,dos
tcp,ftp,SH,50.478216667819176,226.01118547296454,1339.1131440515185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,8,0.7850859381586776,0.7196591026728069,0.7970259538133391,0.31231122030757064,0.5532057502715494,0.9849354380926355,0.49639617916323,0.9297005185813146,0.3306297095257611,0.20392239331521045,0.14861396292092965,0.7264718333239969,0.2925830015547588,0.6520911587502363,0.8286720379790706,48,39,r2l
icmp,ftp,RSTR,54.56019287535835,168.75961208251758,744.8318961129959,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,11,0.11224755375202145,0.14317467987049493,0.21699708951343533,0.4054336933422942,0.15268596481553376,0.6652729741752941,0.5963097891756859,0.8992238156235559,0.27111280614577693,0.4974218433827845,0.7742396781628563,0.4772867136522473,0.6259712840087739,0.48873342348013615,0.11113861092969546,53,28,normal
tcp,smtp,S2,119.80716334019492,1338.7647406488773,46.37790976457186,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,7,0.41473144200758894,0.7329539032233789,0.07694963584954229,0.47319925195751833,0.38599993649799,0.29270137297315924,0.2839848041755162,0.18503218446594338,0.9536550052043621,0.25089541783064684,0.2837883571763986,0.2187532579524305,0.8660660914702114,0.9824564229960873,0.03511690184106109,55,38,dos
tcp,telnet,SF,69.19989559317605,374.0925401079083,131.099679781857,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0.8908387913996862,0.488762090502044,0.7919956002761471,0.16780104056712164,0.28729803640589957,0.992182746285781,0.9500217834693206,0.40693094109352246,0.8289975304019795,0.4760829820702849,0.47976480798643995,0.3687572456457522,0.5706553732162282,0.4948426687318469,0.2534205731777762,54,30,normal
tcp,ftp,SH,100.47929770534456,1482.394533259901,346.56783510101343,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,8,7,0.7614582247592189,0.34146871080317476,0.030185796295050915,0.032967670227043167,0.9854592423507031,0.8337776137841176,0.586925342335024,0.7342345503441179,0.4849812994533964,0.2782873108056849,0.6317511828747961,0.20140231993172686,0.10456928865726356,0.46007050888295375,0.8813654939164143,42,37,dos
tcp,smtp,S0,26.926295590411186,42.36114083347159,6.977352161433623,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,13,7,0.5682767890426308,0.5834471299792324,0.44512423888689845,0.5651700883420518,0.44301409144700554,0.6547468866400437,0.4552368433581794,0.7927430845548576,0.6556260506851619,0.9640684755324481,0.9615586475815638,0.20207281908688945,0.43562167687575615,0.6965038200986259,0.25603236942403507,53,38,normal
tcp,http,SH,100.25617646609257,936.788323992859,489.8782223639933,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,14,3,0.8096242616308517,0.4854531780205621,0.5661384259144404,0.7859982095707586,0.8258315827898488,0.6662434496940036,0.4788164038156104,0.594441232667922,0.7707932807389084,0.6600344404452433,0.6524222833171167,0.7981177434452663,0.3966683637331695,0.5380024156500505,0.9542840336569915,45,26,normal
tcp,http,SF,51.903344238174,383.04931629877933,535.3691706837708,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,13,12,0.9511203219539479,0.8516360100673103,0.023266800434974422,0.045565061830771136,0.5736926774640752,0.30142903126130116,0.18276489195994217,0.10848363491194535,0.871840013794862,0.7922721544443518,0.8264897986000947,0.06170443241011159,0.4415259700745825,0.43428244388744897,0.22260117623362285,44,36,probe
udp,ftp,S0,7.286432901203231,206.92569366613426,596.1019340482485,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9,8,0.44321599966147673,0.3566705734822395,0.5756533359254714,0.9231510739958507,0.7602980916322927,0.5190738428039882,0.485404359132265,0.3767846887709714,0.5412245031459421,0.19590137723904988,0.4506061544465977,0.07895924943610455,0.4163584931829981,0.4656220632925978,0.6369721805239648,42,28,normal
